date,headline,url,summary,year,month,day
2021-09-10 14:42:00+00:00, Ο Κουφοντίνας προσέφυγε στο Ανώτατο Ειδικό Δικαστήριο για τη μεταγωγή του στον Δομοκό ,https://www.protothema.gr/greece/article/1159880/koufodinas-prosfugi-sto-anotato-eidiko-dikastirio-gia-tin-prosagogi-tou-ston-domoko/,"                     Ο «Λουκάς» της 17Ν επικαλείται τις αντίθετες αποφάσεις του Συμβουλίου Πλημμελειοδικών Λαμίας και του Συμβουλίου της Επικρατείας - Επικαλείται παραβίαση του Συντάγματος και της ΕΣΔΑ καθώς η άρνηση των δύο αυτών δικαστηρίων συνιστούν αρνησιδικία -Eκκρεμεί το αίτημα υφ’ όρων απόλυση από τις φυλακές, καθώς συμπλήρωσε 19 χρόνια φυλάκισης                 ",2021,09,10
2021-08-19 11:51:00+00:00, Αίτηση αποφυλάκισης κατέθεσε o Δημήτρης Κουφοντίνας ,https://www.protothema.gr/greece/article/1153351/aitisi-apofulakisis-katethese-o-dimitris-koufodinas/," Το Δικαστικό Συμβούλιο  αναμένεται να εξετάσει το αίτημα  για υφ’όρων απόλυση, μέσα στον Σεπτέμβριο  ",2021,08,19
2021-07-30 18:32:00+00:00," 17 Νοέμβρη: Μετά τον Κωστάρη, ετοιμάζουν αιτήσεις αποφυλάκισης όλα τα μέλη της Οργάνωσης ",https://www.protothema.gr/greece/article/1147944/17-noemvri-meta-ton-kostari-etoimazoun-aitiseis-apofulakisis-ola-ta-meli-tis-organosis/,"                     Τον Σεπτέμβριο αναμένται να κατατεθούν οι αιτήσεις - Ισόβια και 23 χρόνια ήταν η ποινή του Ηρακλή Κωστάρη, δολοφόνου του Παύλου Μπακογιάννη, ο οποίος αποφυλακίστηκε με όρους την Πέμπτη                 ",2021,07,30
2021-07-14 15:30:11+00:00, Επέτειος δολοφονίας Αξαρλιάν: Συγκινητική ανάρτηση Κώστα Μπακογιάννη - Αιχμές από ΝΔ για τις άδειες σε Κουφοντίνα  ,https://www.protothema.gr/greece/article/1143232/epeteios-dolofonias-axarlian-suginitiki-anartisi-apo-k-bakogianni-aihmes-apo-nd-gia-adeies-se-koufodina/,                     Ανακοίνωση του κυβερνώντος κόμματος με αφορμή τη συμπλήρωση σήμερα 29 χρόνων από την τρομοκρατική επίθεση με θύμα τον 20χρόνο τότε Θάνο -  Φόρος τιμής και από την Ντόρα Μπακογιάννη                 ,2021,07,14
2021-06-01 04:25:00+00:00, Αντιδράσεις για τις απόψεις του προέδρου της ΕΔΕ για τους Έλληνες μετανάστες της Αμερικής και τις «κουρελούδες των Κωδίκων» ,https://www.protothema.gr/greece/article/1129437/ede-adidraseis-gia-tis-apopseis-sevastidi-gia-tous-ellines-metanastes-tis-amerikis-kai-tis-koureloudes-ton-kodikon/,"                     Τέσσερα μέλη του Δ.Σ. της ΕΔΕ εκφράζουν πλήρη αντίθεση στα ανθελληνικά στοιχεία που επικαλέστηκε ο πρόεδρος της σε πρόσφατη ημερίδα  και «στον, άνευ ορίων πλέον, εκλαϊκισμό του δημοσίου λόγου της Ένωσης»  ",2021,06,01
2021-04-23 12:09:00+00:00, Το ΣτΕ απέρριψε οριστικά την αίτηση Κουφοντίνα για την μεταγωγή του στις φυλακές Δομοκού ,https://www.protothema.gr/greece/article/1117826/koufodinas-to-ste-aperripse-oristika-tin-aitisi-gia-tin-metagogi-tou-stis-fulakes-domokou/, Η αίτηση του μέλους της 17Ν απερρίφθη ως απαράδεκτη ,2021,04,23
2021-04-09 15:11:00+00:00, Επέστρεψε στις φυλακές Δομοκού ο Δημήτρης Κουφοντίνας ,https://www.protothema.gr/greece/article/1113320/epestrepse-stis-fulakes-domokou-o-dimitris-koufodinas/, Ο Δημήτρης Κουφοντίνας είχε τερματίσει την απεργία πείνας στις 14 Μαρτίου και παρέμεινε σε ΜΕΘ για να ανακτήσει τις δυνάμεις του ,2021,04,09
2021-04-02 12:35:00+00:00, Συζητήθηκε στο ΣτΕ η αίτηση του Κουφοντίνα για την ακύρωση της απόφασης της μεταγωγής του στις φυλακές Δομοκού ,https://www.protothema.gr/greece/article/1110891/koufodinas-stin-olomeleia-tou-ste-suzitithike-i-aitisi-gia-ti-metagogi-tou-stis-fulakes-domokou/, Μετά από 66 ημέρες σταμάτησε την απεργία πείνας και παραμένει προσωρινά στο νοσοκομείο της Λαμίας                 ,2021,04,02
2021-03-23 12:14:00+00:00, Βγήκε από τη ΜΕΘ ο Δημήτρης Κουφοντίνας ,https://www.protothema.gr/greece/article/1107363/vgike-apo-tin-meth-o-dimitris-koufodinas/,                     Θα συνεχίσει για όσο διάστημα χρειαστεί τη νοσηλεία του στο θάλαμο-κελί του νοσοκομείου Λαμίας                 ,2021,03,23
2021-03-19 13:48:00+00:00, ΝΔ: 632 πορείες από τις αρχές Φεβρουαρίου - Ο ΣΥΡΙΖΑ εξακολουθεί να καλεί σε διαδηλώσεις ,https://www.protothema.gr/politics/article/1106188/nd-632-poreies-apo-tis-arhes-fevrouariou-o-suriza-exakolouthei-na-kalei-se-diadiloseis/,                     Επίθεση κατά του ΣΥΡΙΖΑ από τη Νέα Δημοκρατία - «Τις μέρες που οι πολίτες έδιναν σκληρή μάχη κατά της πανδημίας ο κ. Τσίπρας αναλάμβανε το ρίσκο για την εξάπλωσή της» ,2021,03,19
2021-03-19 09:39:00+00:00, Χρυσοχοΐδης: 632 συναθροίσεις σε 50 ημέρες - Οι μισές για τον Κουφοντίνα ,https://www.protothema.gr/politics/article/1106081/hrusohoidis-632-sunathroiseis-se-50-imeres-oi-mises-gia-ton-koufodina/, Ο υπουργός Προστασίας του Πολίτη αποκρούοντας τις καταγγελίες της αντιπολίτευσης περί κλιμακούμενης κρατικής καταστολής αναρωτήθηκε αν αποτελεί «απογείωση της κρατικής καταστολής» το γεγονός ότι εντός των δύο τελευταίων μηνών πραγματοποιήθηκαν σε όλη την χώρα 632 συναθροίσεις ,2021,03,19
2021-03-18 14:22:00+00:00, Γκάφα Τσίπρα με τη σύλληψη του Ξηρού ,https://www.protothema.gr/politics/article/1105819/gafa-tsipra-o-hristodoulos-xiros-sunelifthi-epi-kuvernisis-suriza/,                     Πρώτο trend στο twitter η αναφορά του προέδρου του ΣΥΡΙΖΑ  ότι ο Χριστόδουλος Ξηρός συνελήφθη επί κυβέρνησης ΣΥΡΙΖΑ                 ,2021,03,18
2021-03-17 13:32:00+00:00, Κουφοντίνας: Το ΣτΕ απέρριψε την αίτηση αναστολής για τη μεταγωγή του στις φυλακές Δομοκού ,https://www.protothema.gr/greece/article/1105409/koufodinas-to-ste-aperripse-tin-aitisi-anastolis-gia-ti-metagogi-tou-stis-fulakes-domokou/,                     Η Ολομέλεια του ΣτΕ έκρινε ότι είναι αναρμόδια και μόνα αρμόδια είναι τα Ποινικά Δικαστήρια - Ο Δημήτρης Κουφοντίνας μετά από 66 ημέρες απεργίας πείνας παραμένει στο νοσοκομείο μέχρι να επανέλθει η υγεία του                 ,2021,03,17
2021-03-15 04:24:00+00:00, Δημήτρης Κουφοντίνας: Παραμένει στο νοσοκομείο Λαμίας - Σταδιακά η επανασίτισή του  ,https://www.protothema.gr/greece/article/1104564/dimitris-koufodinas-paramenei-sto-nosokomeio-lamias-stadiaka-i-epanasitisi-tou/,                     Διέκοψε την απεργία πείνας πριν εκδοθεί η απόφαση του ΣτΕ ,2021,03,15
2021-03-14 12:49:00+00:00," Βαρβιτσιώτης στον ΘΕΜΑ 104,6: Η Τουρκία δεν μπορεί να παίζει με όρους αλα καρτ ",https://www.protothema.gr/politics/article/1104447/o-miltiadis-varvitsiotis-ston-thema-1046-eho-ginei-stohos-akraion-stoiheion/,"                     Συνέντευξη εφ'όλης της ύλης για τις επιθέσεις των κουκουλοφόρων, την υπόθεση Κουφοντίνα και το ρόλο της Δικαιοσύνης                 ",2021,03,14
2021-03-14 11:29:00+00:00, Κουφοντίνας: Τέλος η  απεργία πείνας - Η ανακοίνωση του Νοσοκομείου Λαμίας ,https://www.protothema.gr/greece/article/1104406/o-dimitris-koufodinas-proanaggellei-lixi-tis-apergias-peinas/,"                     Ξεκίνησε η διαδικασία σίτισης του πολυισοβίτη, μετά από δική του επιθυμία - Παραμένει σοβαρή η κατάστασή του - Με δήλωσή του που μετέφερε η συνήγορός του ευχαριστεί όσους του συμπαρίστανται και δηλώνει «παρών» «με την καρδιά και το μυαλό του» στις κινητοποιήσεις                 ",2021,03,14
2021-03-13 15:00:00+00:00, Δημήτρης Κουφοντίνας: Οριακή η κατάσταση της υγείας του σύμφωνα με τους γιατρούς του ,https://www.protothema.gr/greece/article/1104266/dimitris-koufodinas-oriaki-i-katastasi-tis-ugeias-tou-sumfona-me-tous-giatrous-tou/,                     Οι γιατροί που επέλεξε ο Δημήτρης Κουφοντίνας αναφέρουν ότι η κατάστασή του είναι «πολύ κρίσιμη» λόγω των διαταραχών που έχει προκαλέσει η απεργία πείνας –Κάνουν λόγο για «προφανή κίνδυνο μόνιμων βλαβών και ανεπαρκειών αλλά και συνεχή δυνητικό κίνδυνο αιφνίδιου θανάτου»                 ,2021,03,13
2021-03-12 11:46:00+00:00, Υπουργείο Προστασίας του Πολίτη: 101 επιθέσεις και συνολικά 236 δράσεις για τον Κουφοντίνα έως τις 9 Μαρτίου ,https://www.protothema.gr/greece/article/1103919/upourgeio-prostasias-tou-politi-101-epitheseis-kai-sunolika-236-draseis-gia-ton-koufodina-eos-tis-9-martiou/,"                     Οι 42 ερωταπαντήσεις για την εκπαίδευση των ειδικών φρουρών, την αύξηση των καταγγελιών για αστυνομική αυθαιρεσία, τις επιθέσεις υποστηρικτών του Κουφοντίνα και την επιτροπή Αλιβιζάτου                 ",2021,03,12
2021-03-11 16:01:00+00:00, Νέα συγκέντρωση για τον Κουφοντίνα στο κέντρο της Αθήνας ,https://www.protothema.gr/greece/article/1103628/nea-sugedrosi-gia-ton-koufodina-sto-kedro-tis-athinas/,                     Διαδηλωτές πραγματοποίησαν συγκέντρωση διαμαρτυρίας για τον πολυισοβίτη απεργό πείνας                 ,2021,03,11
2021-03-11 13:39:00+00:00, Η Κεντρική Επιτροπή Μεταγωγών απέρριψε το αίτημα μεταφοράς του Κουφοντίνα στις φυλακές Κορυδαλλού ,https://www.protothema.gr/greece/article/1103566/koufodinas-i-kedriki-epitropi-metagogon-aperripse-to-aitima-metaforas-tou-stis-fulakes-korudallou/, Αναμένεται προσφυγή στα αρμόδια δικαστήρια από τους συνηγόρους του - Τι τονίζεται στην απόφαση της ΚΕΜ ,2021,03,11
2021-03-11 10:46:00+00:00, Κλέων Γρηγοριάδης: Ο Κουφοντίνας είναι πλέον βαρυποινίτης και όχι τρομοκράτης ,https://www.protothema.gr/politics/article/1103507/grigoriadis-o-koufodinas-einai-pleon-varupoinitis-kai-ohi-tromokratis/, «Πρώην τρομοκράτη» χαρακτήρισε το  μέλος της 17Ν ο βουλευτής του ΜέΡΑ 25                 ,2021,03,11
2021-03-09 20:21:23+00:00, Συνήγοροι Κουφοντίνα: Κανένα δικαστήριο δεν αναλαμβάνει να κρίνει το αίτημά του ,https://www.protothema.gr/greece/article/1102932/sunigoroi-koufodina-kanena-dikastirio-den-analamvanei-na-krinei-to-aitima-tou/,                     Καλούν «την κυβέρνηση να επιλύσει άμεσα τον γόρδιο δεσμό που η ίδια δημιούργησε»                 ,2021,03,09
2021-03-09 19:23:00+00:00, Βεβήλωσαν εικόνα της Παναγίας στη χθεσινή συγκέντρωση για τον Κουφοντίνα στο κέντρο της Αθήνας ,https://www.protothema.gr/greece/article/1102879/vevilosan-eikona-tis-panagias-sti-hthesini-sugedrosi-gia-ton-koufodina-sto-kedro-tis-athinas/, Μερίδα διαδηλωτών επιχείρησε να διαπληκτιστεί με διερχόμενο άνδρα ο οποίος προσπάθησε να αποτρέψει την βεβήλωση  εικόνας της Παναγίας ,2021,03,09
2021-03-09 17:37:00+00:00, Πάτρα: Πορεία διαμαρτυρίας για τη Νέα Σμύρνη και τον Κουφοντίνα ,https://www.protothema.gr/greece/article/1102877/patra-poreia-diamarturias-gia-ti-nea-smurni-kai-ton-koufodina/,                     Δείτε βίντεο από την πορεία στο κέντρο της Πάτρας                 ,2021,03,09
2021-03-09 17:17:00+00:00, Θεσσαλονίκη: Σε αστυνομικό κλοιό ξανά το ΑΠΘ - Πορεία για τον Κουφοντίνα στο κέντρο της πόλης (βίντεο) ,https://www.protothema.gr/greece/article/1102871/thessaloniki-poreia-gia-ton-koufodina-sto-kedro-tis-polis-video/, Ισχυρές αστυνομικές δυνάμεις έχουν αναπτυχθεί και σήμερα γύρω από το Αριστοτέλειο Πανεπιστήμιο - Μεγάλη κινητοποίηση και για την πορεία διαμαρτυρίας που πραγματοποιείται στο κέντρο της πόλης ,2021,03,09
2021-03-09 16:58:00+00:00, Επιστολή δικηγόρων στην αντεισαγγελέα μέλος της ΚΕΜ: Εξετάστε την αίτηση Κουφοντίνα για μεταγωγή στον Κορυδαλλό ,https://www.protothema.gr/greece/article/1102861/epistoli-dikigoron-stin-eisaggelea-melos-tis-kem-exetaste-tin-aitisi-koufodina-gia-metagogi-ston-korudallo/," Oι 36 νομικοί ζητούν από την Καλλιόπη Νταγιάντα να λάβει την πρωτοβουλία άμεσης σύγκλησης της Κεντρικής Επιτροπής Μεταγωγών για την εξέταση του αιτήματος Κουφοντίνα ώστε μεταξύ των άλλων, να αποκατασταθεί η κυβερνητική αυθαιρεσία σε βάρος του και να σωθεί η ζωή του….» ",2021,03,09
2021-03-09 12:48:00+00:00, Ομάδα αλληλέγγυων στον Δημήτρη Κουφοντίνα κινήθηκε με πανό και συνθήματα προς την αμερικανική πρεσβεία ,https://www.protothema.gr/greece/article/1102767/omada-allilegguon-ston-dimitri-koufodina-kinithike-me-pano-kai-sunthimata-pros-tin-amerikaniki-presveia/,"                     Πέταξαν φέιγ βολάν και αποχώρησαν, όταν έγιναν αντιληπτοί από τις αστυνομικές δυνάμεις                 ",2021,03,09
2021-03-09 11:52:00+00:00, «Όχι» από το ΣτΕ στο πάγωμα της μεταγωγής του Κουφοντίνα ,https://www.protothema.gr/greece/article/1102748/dimitris-koufodinas-ohi-sto-aitima-apo-tin-proedro-tou-ste/,                     Ο Δημήτρης Κουφοντίνας ζητούσε με προσωρινή διαταγή να «παγώσει» η απόφαση της γενικής γραμματέως Αντεγκληματικής Πολιτικής για τη μεταγωγή του στις φυλακές Δομοκού - Το αίτημά του θα εξεταστεί τον Απρίλιο                 ,2021,03,09
2021-03-08 16:58:12+00:00, Σοφός για υπόθεση Κουφοντίνα: Η Δικαιοσύνη έκρινε ότι η επίλυση του θέματος εναπόκειται στην Πολιτεία ,https://www.protothema.gr/greece/article/1102485/sofos-gia-upothesi-koufodina-i-dikaiosuni-ekrine-oti-i-epilusi-tou-thematos-enapokeitai-stin-politeia/,                     Ο συνήγορος του Δημήτρη Κουφοντίνα ανέφερε ότι ως δικηγόρος έκανε ανιδιοτελώς το χρέος του για την αποκλιμάκωση της έντασης - «Ελπίζω ότι το μήνυμα θα βρει στην Πολιτεία τους αποδέκτες που έχουν τη δυνατότητα να επιδείξουν πολιτική ωριμότητα»                 ,2021,03,08
2021-03-08 15:48:00+00:00, Πορεία για τον Δημήτρη Κουφοντίνα στο κέντρο της Αθήνας ,https://www.protothema.gr/greece/article/1102461/poreia-gia-ton-dimitri-koufodina-sto-kedro-tis-athinas/,                     Νέα πορεία διαμαρτυρίας για τον πολυισοβίτη απεργό πείνας                 ,2021,03,08
2021-03-08 12:58:00+00:00, Στο ΣτΕ προσέφυγε ο Κουφοντίνας για το ζήτημα της μεταγωγής του ,https://www.protothema.gr/greece/article/1102383/dimitris-koufodinas-prosefuge-sto-sumvoulio-tis-epikrateias-gia-to-zitima-tis-metagogis-tou/," Ο αρχιεκτελεστής της 17Ν υποστηρίζει ότι είναι μη νόμιμη η απόφαση της γενικής γραμματέως Αντεγκληματικής Πολιτικής του υπουργείου Προστασίας του Πολίτη, Σοφίας Νικολάου και αντισυνταγματικός ο νόμος 4760/2020 για τις μεταγωγές ",2021,03,08
2021-03-08 12:01:00+00:00, Κούρτοβικ: Δεν θα μπορούσε πρωτοβάθμιο περιφερειακό δικαστήριο να ανατρέψει πολιτική απόφαση ,https://www.protothema.gr/greece/article/1102361/kourtovik-den-tha-borouse-protovathmio-perifereiako-dikastirio-na-anatrepsei-politiki-apofasi/,                     Το σχόλιο της συνηγόρου του Κουφοντίνα για την απόρριψη του αιτήματος μεταγωγής στις φυλακές Κορυδαλλού                 ,2021,03,08
2021-03-08 10:11:00+00:00, Απορρίφθηκε ομόφωνα το αίτημα Κουφοντίνα για μεταγωγή στις φυλακές Κορυδαλλού ,https://www.protothema.gr/greece/article/1102315/alert-aporrifthike-to-aitima-koufodina-gia-metagogi-stis-fulakes-korudallou/,                     Συνεχίζει την απεργία πείνας και δίψας - Το δρόμο προς τα διοικητικά δικαστήρια  «δείχνει» το βούλευμα του δικαστικού συμβουλίου - Το σχόλιο της Ιωάννας Κούρτοβικ  ,2021,03,08
2021-03-08 04:24:00+00:00, Χαραμάδα εκτόνωσης για Κουφοντίνα εν αναμονή των αποφάσεων για τη μεταγωγή του ,https://www.protothema.gr/politics/article/1102195/haramada-ektonosis-gia-koufodina-en-anamoni-ton-apofaseon-gia-ti-metagogi-tou/,                     Δέχθηκε τον ορό ενυδάτωσης για την αποφυγή ανεπίστρεπτης βλάβης                 ,2021,03,08
2021-03-07 18:14:53+00:00, Κουφοντίνας: Θεμελιώνει τον Σεπτέμβριο αίτημα για αποφυλάκιση ,https://www.protothema.gr/greece/article/1102051/koufodinas-themelionei-ton-septemvrio-aitima-gia-apofulakisi/,"                     Μαζί με τον Δημήτρη Κουφοντίνα, τον ερχόμενο Σεπτέμβριο θεμελιώνουν δικαίωμα υφ΄ όρων απόλυσης άλλα έξι ακόμα μέλη της 17Ν - Τι προβλέπει ο Ποινικός Κώδικας - Ποιοι καταδικάστηκαν και ποιοι έχουν αποφυλακιστεί μέχρι τώρα                 ",2021,03,07
2021-03-07 13:39:00+00:00, ΝΔ για το μπαράζ επιθέσεων: «Θρασύδειλοι» - «Η πολιτεία δεν υποκύπτει σε εκβιασμούς» ,https://www.protothema.gr/greece/article/1102084/nd-gia-to-baraz-epitheseon-thrasudeiloi-i-politeia-den-upokuptei-se-ekviasmous/,"                     «Η φασιστική λογική των δραστών, παραπέμπει σε σκοτεινές εποχές που οι Έλληνες έχουν αποφασίσει οριστικά και αμετάκλητα να αφήσουν πίσω τους», τονίζει η ΝΔ                  ",2021,03,07
2021-03-06 19:36:00+00:00, Αφέθηκε ελεύθερος ο γιος του Κουφοντίνα που είχε προσαχθεί στο Σύνταγμα ,https://www.protothema.gr/greece/article/1101972/afethike-eleutheros-o-gios-tou-koufodina-pou-eihe-prosahthei-sto-sudagma/,                     Από τους 29 προσαχθένετες οι 22 αφέθηκαν ελεύθεροι                 ,2021,03,06
2021-03-06 10:37:00+00:00, ΜΑΤ κατά διαδηλωτών στο Σύνταγμα - Προσήχθη ο Έκτορας Κουφοντίνας ,https://www.protothema.gr/greece/article/1101860/sugedrosi-gia-ton-koufodina-diadilotes-enadion-mat-stin-plateia-sudagmatos/,"                     Σημειώθηκε ένταση, με χρήση χημικών και κυνηγητό στα στενά πέριξ της πλατείας - 29 προσαγωγές                 ",2021,03,06
2021-03-06 08:50:00+00:00," Νικολάου για Κουφοντίνα: Αποδέχτηκε τον ορό, οι γιατροί είναι από πάνω του ",https://www.protothema.gr/greece/article/1101840/nikolaou-gia-koufodina-apodehtike-ton-oro-oi-giatroi-einai-apo-pano-tou/," «Δεν μπορεί με τίποτα κανείς κρατούμενος να μεταφερθεί στις φυλακές Κορυδαλλού, εκτός αν είναι υπόδικος. Το αίτημα του κάθε κρατουμένου εξετάζεται από το αρμόδιο όργανο: την Κεντρική Επιτροπή Μεταγωγών» ξεκαθάρισε η γενική γραμματέας Αντεγκληματικής Πολιτικής ",2021,03,06
2021-03-05 16:35:00+00:00, Επεισόδια στη συγκέντρωση για τον Δημήτρη Κουφοντίνα στο κέντρο της Αθήνας ,https://www.protothema.gr/greece/article/1101710/sugedrosi-sto-kedro-tis-athinas-gia-ton-dimitri-koufodina-kleisto-to-metro-sto-sudagma/,                     Η αύρα έριξε νερό στην Πανεπιστημίου για να διαλύσει τους διαδηλωτές -  Σε δέκα προσαγωγές προχώρησε η ΕΛ.ΑΣ ,2021,03,05
2021-03-05 14:33:00+00:00, Τις επόμενες μέρες η απόφαση του δικαστικού συμβουλίου Λαμίας για τον Κουφοντίνα ,https://www.protothema.gr/greece/article/1101675/dimitris-koufodinas-sunedriazei-to-dikastiko-sumvoulio-gia-ti-metagogi-tou-sto-domoko/,                     Το συμβούλιο συνεδρίασε σήμερα για να εξετάσει τη νομιμότητα της μεταγωγής του                 ,2021,03,05
2021-03-05 14:25:00+00:00, Η «συγγνώμη» της ΕΡΤ για την είδηση με το πανό υπέρ Κουφοντίνα ,https://www.protothema.gr/life-style/article/1101673/ta-adanaklastika-tis-ert-ston-seismo-tis-elassonas-kai-sti-suggnomi/,                     Η δημόσια τηλεόραση ζήτησε χθες συγγνώμη για κάτι που εσφαλμένα μετέδωσε στο κεντρικό της δελτίο  ,2021,03,05
2021-03-05 13:24:00+00:00, Νοσοκομείο Λαμίας: Με οξεία νεφρική ανεπάρκεια ο Κουφοντίνας - Ανάνηψη με εισαγγελική παραγγελία ,https://www.protothema.gr/greece/article/1101648/nosokomeio-lamias-me-oxeia-nefriki-aneparkeia-o-koufodinas/,                     Οι γιατροί του νοσοκομείου προέβησαν στις προβλεπόμενες διαδικασίες ανάνηψης και στήριξης των ζωτικών λειτουργιών του στο πλαίσιο της εισαγγελικής παραγγελίας που έχουν λάβει και  σύμφωνα με τον  κώδικα ιατρικής δεοντολογίας                 ,2021,03,05
2021-03-05 11:17:00+00:00, Μανιτάκης: Το αίτημα Κουφοντίνα να επιστρέψει στον Κορυδαλλό δεν πρέπει να ικανοποιηθεί ,https://www.protothema.gr/politics/article/1101598/manitakis-to-aitima-koufodina-na-epistrepsei-ston-korudallo-den-prepei-na-ikanopoiithei/,                     Ο πρώην υπουργός καλεί την κυβέρνηση να μην παίξει το επικίνδυνο παιχνίδι της αντιπολίτευσης                 ,2021,03,05
2021-03-05 11:05:00+00:00, Αναρτήσεις «φωτιά» από τον Πάνο Κοκκινόπουλο: Ο Λιγνάδης ξεκίνησε απεργία πείνας... ,https://www.protothema.gr/life-style/article/1101595/panos-kokkinopoulos-anartiseis-fotia-o-lignadis-xekinise-apergia-peinas/,                     Δεν μασάει τα λόγια του ο γνωστός σκηνοθέτης στα social media                 ,2021,03,05
2021-03-05 10:56:00+00:00, Δικαστές του Αρείου Πάγου υπέρ της ανακοίνωσης της ΕΔΕ για Κουφοντίνα ,https://www.protothema.gr/greece/article/1101590/upothesi-koufodina-dikastes-tou-areiou-pagou-uper-tis-anakoinosis-tis-ede/,                     Το περιεχόμενο της εν λόγω ανακοίνωσης «ανταποκρίνεται στους καταστατικούς σκοπούς και τιμά το δικαστικό Σώμα» τονίζουν οι εν λόγω δικαστές                 ,2021,03,05
2021-03-05 10:02:00+00:00, Άρειος Πάγος για Κουφοντίνα: Η Δικαιοσύνη εκφράζεται μόνον μέσα από τις αποφάσεις των δικαστικών σχηματισμών ,https://www.protothema.gr/greece/article/1101572/proedros-kai-eisaggeleas-areiou-pagou-kata-enosis-dikaston-kai-eisaggeleon-gia-koufodina/,                     Η Πρόεδρος και ο Εισαγγελέας του Αρείου Πάγου αποδοκιμάζουν εμμέσως την ανακοίνωση της Ένωσης Δικαστών και Εισαγγελέων που καλούσε την Πολιτεία να αναθεωρήσει την στάση της στο ζήτημα του Κουφοντίνα - Το «καρφί» της Αγγελικής Αλειφεροπούλου και του Βασίλη Πλιώτα προς την ΕΔΕ                 ,2021,03,05
2021-03-05 10:00:00+00:00," Τσιάρας για Κουφοντίνα (ΘΕΜΑ 104,6): Το Κράτος Δικαίου δεν εκβιάζεται ",https://www.protothema.gr/politics/article/1101569/tsiaras-gia-koufodina-thema-1046-to-kratos-dikaiou-den-ekviazetai/,"                     «Θα αποφασίσει η δικαιοσύνη», για το θέμα τόνισε ο υπουργός Δικαιοσύνης                 ",2021,03,05
2021-03-05 09:34:00+00:00," Πελώνη για Κουφοντίνα: «Η κυβέρνηση συντάσσεται με το Κράτος Δικαίου, ο ΣΥΡΙΖΑ με ακραίες μειοψηφίες» ",https://www.protothema.gr/politics/article/1101555/peloni-gia-koufodina-i-kuvernisi-sudassetai-me-to-kratos-dikaiou-o-suriza-me-akraies-meiopsifies/, «Περιμένουμε από τον επικεφαλής της αξιωματικής αντιπολίτευσης μια σαφή θέση χωρίς προσχήματα και υπεκφυγές. Η πολιτική του αφωνία γεννά ερωτήματα» τονίζει η κυβερνητική εκπρόσωπος                 ,2021,03,05
2021-03-05 09:17:00+00:00, Νικολάου: Στην περίπτωση Κουφοντίνα ο νόμος τηρήθηκε στο ακέραιο ,https://www.protothema.gr/greece/article/1101544/nikolaou-stin-periptosi-koufodina-o-nomos-tirithike-sto-akeraio/,                     Η ΓΓ Αντεγκληματικής Πολιτικής τόνισε ότι «δεν μπορεί ο κρατούμενος να επιλέγει τη φυλακή του» ,2021,03,05
2021-03-05 07:52:00+00:00, Κούρτοβικ: Η Πολιτεία θέλει να πεθάνει ο Κουφοντίνας και τον εξωθεί σε αυτό ,https://www.protothema.gr/greece/article/1101501/kourtovik-i-politeia-thelei-na-pethanei-o-koufodinas-kai-ton-exothei-se-auto/,"                     Τι είπε για την μεταγωγή του στον Δομοκό – Τόνισε πως είναι δικαίωμα του κρατουμένου να επιλέξει σε ποια φυλακή θέλει να πάει - «Η απεργία πείνας δεν είναι διεκδίκηση θανάτου, διεκδίκηση ζωής είναι», είπε                 ",2021,03,05
2021-03-05 04:32:00+00:00, Στα άκρα η σύγκρουση για τον Κουφοντίνα: Συζητείται σήμερα το αίτημα για μεταγωγή του  ,https://www.protothema.gr/politics/article/1101445/sta-akra-i-sugrousi-gia-ton-koufodina/," Ο βουλευτής του ΣΥΡΙΖΑ Θοδωρής Δρίτσας επιχείρησε και χθες να διορθώσει την προ τριημέρου δήλωσή του ότι «κανείς δεν τρομοκρατήθηκε από τη 17Ν», λέγοντας χαρακτηριστικά στη Βουλή «ενώπιον των Ελλήνων θέλω να λογοδοτήσω, να εξηγήσω και να αποκαταστήσω» ",2021,03,05
2021-03-04 18:08:00+00:00, Ολοκληρώθηκε η πορεία στο κέντρο της Αθήνας για τον Δημήτρη Κουφοντίνα  ,https://www.protothema.gr/greece/article/1101333/epi-podos-i-astunomia-gia-tin-poreia-uper-tou-koufodina/,                     Καθ' όλη τη διάρκεια της πορείας παρέμειναν κλειστοί δρόμοι του κέντρου της Αθήνας - Ισχυρές αστυνομικές δυνάμεις στο κέντρο της Αθήνας                 ,2021,03,04
2021-03-04 17:31:00+00:00, Κούρτοβικ: Ο Τσιάρας να διατάξει τη μεταγωγή Κουφοντίνα για ...λόγους ασφάλειας του κράτους ,https://www.protothema.gr/greece/article/1101360/kourtovik-o-tsiaras-na-diataxei-ti-metagogi-koufodina-gia-logous-asfaleias-tou-kratous/,                     Για μείζον θέμα δημόσιας τάξης μίλησε σε εκδήλωση η συνήγορος του πολυισοβίτη                 ,2021,03,04
2021-03-04 14:36:00+00:00, Απορρίφθηκε το αίτημα Κουφοντίνα για διακοπή έκτισης της ποινής ,https://www.protothema.gr/greece/article/1101288/alert-aporrifthike-to-aitima-koufodina-gia-anavoli-ektisis-tis-poinis/,"                     Το Tριμελές Πλημμελειοδικείο της Λαμίας υιοθέτησε την πρόταση της Προϊσταμένης της Εισαγγελίας Πρωτοδικών Λαμίας, Αγορής Παπακώστα - Τι λέει το σκεπτικό της απόφασης                 ",2021,03,04
